Batch ID,Category,Product Name,Product Image,Store Name,Product Link,Price,Unit Price
12,fruits_and_vegetables,Μήλα Ζαγοράς Έξτρα Ελληνικά,https://www.bigle.gr/images/products/250fe834-217d-4675-9791-9b86dd4627b1.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/mila-zaghoras-ekstra-ellinika,"1,29€","2,58€ ανά κιλό"
13,fruits_and_vegetables,Πιπεριές Κίτρινες Εισαγωγής,https://www.bigle.gr/images/products/854cb6e9-099c-4c58-8fe4-ad66b02bf522.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/piperies-kitrines-eisaghoghis,"1,83€","3,65€ ανά κιλό"
14,fruits_and_vegetables,ECONOMY Σαλάτα Φρέσκια Ιταλική 150γρ.,https://www.bigle.gr/images/products/9a5c300c-fe24-4c25-9292-2b8536b65d07.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-salates-freskies-etoimes/economy-salata-freskia-italikh-150gr-,"1,00€","6,67€ ανά κιλό"
15,fruits_and_vegetables,Κρεμμύδια Άσπρα Ελληνικά Α΄ Ποιότητα,https://www.bigle.gr/images/products/d5da2ac1-1218-4b9f-bfa4-9e8cdd513943.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/kremmudia-aspra-ellhnika-a΄-poiothta?1245430,"0,88€","0,88€ ανά κιλό"
16,fruits_and_vegetables,Λεμόνια Α΄ Εισαγωγής,https://www.bigle.gr/images/products/4ac4aa8f-8d4a-4105-8b94-f94d22dece85.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-freska-frouta/lemonia-a-eisagoghs,"1,04€","2,60€ ανά κιλό"
17,fruits_and_vegetables,Κολοκύθες Ελληνικές,https://www.bigle.gr/images/products/b663148c-c928-4006-8ddc-7b2d4857441f.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/kolokythes-ellinikes-1,"1,45€","1,45€ ανά κιλό"
17,fruits_and_vegetables,Κολοκύθες Ελληνικές,https://www.bigle.gr/images/products/b663148c-c928-4006-8ddc-7b2d4857441f.jpeg,My,https://www.bigle.grhttps://www.mymarket.gr/kolokythes-ellinikes,"1,55€","1,55€ ανά κιλό"
18,fruits_and_vegetables,Μελιτζάνα Φλάσκα Βιοαγρός Ελληνική,https://www.bigle.gr/images/products/265c4fe1-b025-43fc-93d2-4de10ee291fe.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2951887000000,"5,40€","5,40€ ανά τεμάχιο"
19,fruits_and_vegetables,Γκρέιπ Φρουτ Κίτρινα Εισαγωγής,https://www.bigle.gr/images/products/39d6200d-a31c-4175-bcd7-a5f39a60ea1c.jpeg,My,https://www.bigle.grhttps://www.mymarket.gr/gkreip-frout-kitrina-eisagogis,"2,99€","2,99€ ανά κιλό"
20,fruits_and_vegetables,Σαλάτα Φρεσκούλης Καπριτσιόζα Ατομική 90gr,https://www.bigle.gr/images/products/285dc201-85e8-4a30-84dd-5abd58dcf300.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/5205461232273,"1,08€","12,00€ ανά κιλό"
21,fruits_and_vegetables,ΑΒ ΒΙΟ | Φασόλια Τσαούλια Βιολογικά,https://www.bigle.gr/images/products/fab676e5-f4c4-4636-9b14-d1af5b949190.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Arakas-Fasolakia-Mpamies-Koykia/Fasolia-Tsaoylia-Viologika/p/7063788,"7,33€","7,33€ ανά κιλό"
22,fruits_and_vegetables,ΑΒ ΒΙΟ | Σύκα Βασιλικά Bio Ελληνικά,https://www.bigle.gr/images/products/6d45f434-0347-4477-98cb-124e5e047f16.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Froyta/Syka-Damaskina/Syka-Vasilika-Bio-Ellinika/p/7063264,"5,17€","8,61€ ανά κιλό"
23,fruits_and_vegetables,Φρέσκια σαλάτα πράσινη σγουρή Ελλάδος,https://www.bigle.gr/images/products/afc74913-bc65-4456-b1c8-18d07097d83d.jpeg,Θανόπουλος,https://www.bigle.grhttps://www.thanopoulos.gr/products/freskia-salata-prasinh-sgourh-ellados-66976ad2534ed70002a7f00a/,"0,64€","0,64€ ανά τεμάχιο"
24,fruits_and_vegetables,Τζίντζερ Εισαγωγής Α΄ Ποιότητα,https://www.bigle.gr/images/products/c08be0ed-9281-43b0-8a57-7a53f5f0f099.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/tzintzer-eisagwghs-a΄-poiothta?0403089,"3,85€","3,85€ ανά κιλό"
25,fruits_and_vegetables,- | Σταφύλια Ανάμεικτα Ελληνικά 500g,https://www.bigle.gr/images/products/29aacd67-03f1-42b0-9315-87528b9f19a5.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Froyta/Stafylia/Stafylia-Anameikta-Ellinika-500g/p/8014779,"2,95€","5,90€ ανά κιλό"
26,fruits_and_vegetables,Μύραθων Μυρωδικά Μαραθώνος Μείγμα Μυρωδικών Για Κρέας Ελληνικό 75γρ.,https://www.bigle.gr/images/products/720e2c5f-f374-4713-a650-20f2956c7c49.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/murathwn-murwdika-marathwnos-meigma-murwdikwn-gia-kreas-ellhniko-75gr?3624814,"2,68€","35,73€ ανά κιλό"
27,fruits_and_vegetables,Αβοκάντο Βιοαγρός Ελληνικό,https://www.bigle.gr/images/products/33f2ee55-c27f-463b-a093-a7386779f5c3.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2957617000000,"7,40€","7,40€ ανά τεμάχιο"
28,fruits_and_vegetables,Χορτα Ραδικια Αγρια Εγχωρια,https://www.bigle.gr/images/products/f43b1c38-ad4f-457b-bfd4-69344feb7376.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2106612000000,"1,95€","1,95€ ανά τεμάχιο"
